front,back
his,su
her,su
them,a ellos
its,es
than,que
into,en
him,a él
even,incluso
being,ser
still,aún
at most,a lo sumo
those,aquellos
as well as,así como
up there for me,ahí arriba para mi
through,a través de
such,semejante
best,mejor
every,cada
such as,como
they are off,estan apagados
always,siempre
get through,pasar
give,dar
without,sin
against,contra
find out,descubrir
ever,alguna vez
might,podría
even through,incluso a través de
take off,despegar
away,lejos
until,hasta
lot,lote
thought,pensamiento
however,sin embargo
already,ya
enough,suficiente
yet,todavía
though,aunque
far,lejos
later,más tarde
everyone,todos
law,ley
so far,hasta ahora
course,curso
least,el menos
within,dentro
able,capaz
at least,al menos
ago,atrás
court,corte
often,a menudo
given,dado
several,varios
wrong,equivocado
lost,perdido
coming in,entrando
matter,asunto
else,demás
anyone,alguien
along,a lo largo de
bit,poco
due,pendiente
leave,dejar
saw,sierra
late,tarde
on the other hand,por otro lado
stay,permanecer
either,cualquiera
rather,bastante
deal,trato
when it comes,cuando viene
further,más
among,entre
although,a pesar de
behind,detrás
stay up,mantenerse de pie
near,cerca
quite,bastante
according,de acuerdo a
former,anterior
gave,dio
across,al otro lado de
board,junta
instead,en cambio
issue,asunto
above,arriba
inside,adentro
often done,hecho a menudo
performance,actuación
brought,trajo
would lead,lideraría
received,recibió
themselves,ellos mismos
ground,suelo
stuff,cosa
feeling,sentimiento
fall,caer
felt,sintió
trust,confianza
forward,adelante
upon,al
cup,taza
chief,ERROR
hell,infierno
itself,sí mismo
stage,escenario
involved,involucrado
perhaps,tal vez
poor,pobre
enjoy,disfrutar
entire,completo
council,concejo
seem,parecer
lose,perder
foreign,extranjero
pick,elegir
die,morir
loss,pérdida
forget,olvidar
truth,verdad
add up one,suma uno
below,abajo
growth,crecimiento
officer,oficial
followed up,seguido
provided,proporcionó
ahead,adelante
committee,comité
despite,a pesar de
cross,cruz
leading,principal
beginning,comienzo
leading to,conduciendo a
nearly,cerca de
fair,justo
earlier,más temprano
beyond,más allá de
unless,a menos que
statement,declaración
subject to,sujeto a
coach,entrenador
heavy,pesado
ability,capacidad
fear,miedo
judge,juez
claim,afirmar
anymore,ya no
hurt,herir
reach,alcanzar
growing,creciente
opening,apertura
insurance,seguro
wonder,preguntarse
approach,ERROR
lack,falta
band,banda
awesome,impresionante
anyway,de todos modos
thus,de este modo
grand,magnífico
doubt,duda
disease,enfermedad
glad,contento
overall,en general
carry,llevar
highly,muy
advice,consejo
otherwise,de lo contrario
award,otorgar
hall,sala
therefore,por lo tanto
avoid,evitar
coast,costa
heat,calor
evening,noche
interview,entrevista
glass,vaso
appear,aparecer
northern,del norte
attempt,intentar
receive,recibir
reached,alcanzó
lie,mentir
remain,permanecer
realize,darse cuenta
mostly,principalmente
fund,financiar
faith,fe
hill,colina
weird,extraño
draw,dibujar
becoming,devenir
cast,elenco
leaves,hojas
indeed,en efecto
handle,manejar
proud,orgulloso
aware,consciente
housing,alojamiento
dear,estimado
onto,sobre
neither,ni
leadership,liderazgo
tough,difícil
background,fondo
might reach far,podría llegar lejos
prove,probar
easier,más fácil
ad,anuncio
fellow,compañero
request,pedido
youth,juventud
aid,ayuda
slightly,levemente
raise,aumentar
concerned,preocupado
magazine,revista
stated,fijado
appreciate,agradecer
injury,lesión
mad,enojado
taste,gusto
toward,hacia
clothes,ropa
ill,enfermo
entirely,enteramente
flat,departamento
cheap,barato
duty,deber
afraid,asustado
intended,destinado
border,borde
crowd,multitud
crew,multitud
attorney,abogado
behavior,comportamiento
connected,conectado
soft,suave
stuck,atascado
lawyer,abogado
grant,conceder
regarding,acerca de
appeal,apelar
appropriate,adecuado
mistake,error
laugh,reír
everywhere,en todos lados
perform,llevar a cabo
confidence,confianza
fault,falla
aircraft,aeronave
fill,llenar
properly,adecuadamente
lay,poner
chicken,pollo
whenever,cuando sea
worried,preocupado
funding,fondos
experienced,experimentado
neck,cuello
besides,además
falls,cae
blame,culpa
meat,carne
ourselves,nosotros mismos
desire,deseo
bright,brillante
capable,capaz
guilty,culpable
dealing,relación comercial
hang,colgar
mile,milla
blow,explotar
deserve,merecer
bond,vínculo
armed,armado
folks,amigos
aside,aparte
affect,afectar
drawing,dibujo
attitude,actitud
heaven,cielo
afford,poder pagar
accurate,preciso
unlike,a diferencia de
achieve,lograr
mess,desorden
pleasure,placer
bunch,racimo
assets,activos
dirty,sucio
stronger,más fuerte
joy,alegría
manner,manera
plate,lámina
retail,minorista
chose,eligió
widely,ampliamente
driven,conducido
heavily,fuertemente
bathroom,baño
advertising,publicidad
wide variety,amplia variedad
hardly,difícilmente
closely,cercanamente
somehow,de alguna manera
stayed,permaneció
loud,alto
broad,amplio
grab,agarrar
brief,breve
chest,pecho
breath,aliento
engaged,comprometido
decade,década
steam,vapor
injured,herido
wealth,poder
aim,apuntar
wise,ERROR
fed,alimentado
cap,tapa
defeat,fracaso
fairly,equitativamente
approval,aprobación
bread,pan
inner,interno
gang,banda
lift,elevar
bush,arbusto
vast,vasto
hunt,caza
appointment,cita
smell,oler
coal,carbón
meanwhile,mientras tanto
harm,dañar
household,ERROR
gap,brecha
occur,ocurrir
clothing,ropa
confused,confundido
impressive,impresionante
gotten,conseguido
assessment,evaluación
to some extent,hasta cierto punto
awful,horrible
loose,perder
poverty,pobreza
elsewhere,en otra parte
belief,creencia
encourage,alentar
charity,caridad
procedure,procedimiento
arrival,llegada
awareness,conciencia
badly,gravemente
pleased,complacido
confident,seguro
pitch,paso
stages,etapas
ear,oreja
raising,levantamiento
odd,extraño
prayer,oración
disappointed,ERROR
hunting,caza
anger,enojo
belt,cinturón
aspect,aspecto
whereas,mientras
dust,polvo
illness,enfermedad
buddy,compañero
annoying,irritante
nowhere,en ningún lugar
pot,olla
butter,manteca
downtown,centro
layer,capa
friendship,amistad
entrance,entrada
broadcast,transmisión
bother,molestar
pan,cacerola
narrow,angosto
abroad,en el extranjero
belong,pertenecer
hence,por eso
shaped,conformado
grass,césped
suitable,adecuado
pace,paso
angle,ángulo
arrive,llegar
engage,comprometer
asleep,dormido
achievement,logro
roughly,apenas
coat,abrigo
begun,comenzado
strip,banda
grateful,agradecido
leather,cuero
fancy,elegante
ties,lazos
outcome,resultado
tear,lágrima
ought,debería
dozen,docena
breast,mama
ease,facilidad
flood,inundación
requested,solicitado
brave,corajudo
it is quite suitable,es bastante adecuado
spots,manchas
courage,coraje
pound,libra
cure,curar
complaint,queja
desperate,desesperado
bite,morder
praise,elogio
announcement,anuncio
fewer,menos
unlikely,improbable
partly,en parte
affair,amorío
awkward,extraño
reliable,confiable
framework,estructura
overseas,exterior
drag,arrastrar
remarkable,notable
threats,amenazas
pin,alfiler
peaceful,pacífico
involve,involucrar
breathing,respiración
judgment,juicio
wherever,lo que sea
gathered,reunido
overcome,superar
encounter,encontrar
scope,alcance
breathe,respirar
announce,anunciar
outer,exterior
nevertheless,sin embargo
forgive,perdonar
pipe,tubo
boundaries,límites
powder,polvo
inquiry,consulta
arrangement,acuerdo
aimed,dirigido
dirt,suciedad
wider,más ancho
gather,recolectar
belongs,pertenece
lazy,perezoso
picks,selecciones
reviewed,revisado
complaints,ERROR
essay,ensayo
complain,quejarse
rubber,goma
outdoor,exterior
furthermore,además
brush,cepillar
briefly,brevemente
dig,excavar
sample-wise,muestrario
pleasant,agradable
useless,inútil
portrait,retrato
